"","day","mouse","RBC","asex","gam","dose","strain","study","study_strain","id"
"1",3,1,9734000,12353.90693675,12.51290989,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"2",4,1,9034000,91041.5342433,22.5064642,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"3",5,1,8945000,317875.0415734,32.9437373,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"4",6,1,8655000,704275.7083651,813.675458,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"5",7,1,4739000,1016266.455001,947.811401,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"6",8,1,3190400,356793.7129295,2011.96055,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"7",9,1,4127000,42433.376151,573.144749,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"8",10,1,5027000,2168.711427,181.650193,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"9",11,1,5496000,1375.207913,322.215207,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"10",12,1,5880000,58.245882,500.56441,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"11",13,1,5870000,82.2832975,109.2849185,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"12",14,1,6863000,159.07027606,13.28949994,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"13",15,1,7633000,136.12020219,4.69410781,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"14",16,1,7422000,88.42585642,3.29387358,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"15",17,1,8139000,316.41075051,2.20896249,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"16",18,1,8260000,324.667174,0,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"17",19,1,8038000,0,0,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"18",20,1,7669000,184.676246,0,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"19",21,1,8578000,48.6415486,0,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p611"
"20",3,2,9241000,8404.3344581,17.0155317,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"21",4,2,9418000,55478.90670267,48.8336457,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"22",5,2,7992000,225937.4858797,279.268041,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"23",6,2,8024000,358511.9427444,984.045125,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"24",7,2,6063000,671959.9015641,531.752335,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"25",8,2,4338000,192241.424889,1297.480556,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"26",9,2,3901000,17590.281305,498.085095,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"27",10,2,4663000,9994.608835,79.83823,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"28",11,2,5401000,1763.38147,297.14626,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"29",12,2,6108000,104.044956,924.571574,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"30",13,2,5838000,828.851196,351.799794,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"31",14,2,6839000,219.6565662,88.6640198,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"32",15,2,6302000,59.7389594,18.4160946,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"33",16,2,7382000,0,0,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"34",17,2,7264000,15.4281916,0,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"35",18,2,7068000,0,0,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"36",19,2,7927000,363.159997,0,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"37",20,2,6621000,0,0,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"38",21,2,6959000,0,0,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p621"
"39",3,3,10030000,1175.129980673,5.048657,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p631"
"40",4,3,9274000,7835.007514622,13.97230472,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p631"
"41",5,3,8350000,60287.80528485,12.00641513,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p631"
"42",6,3,9552000,266035.1267175,359.057685,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p631"
"43",7,3,6743000,579264.9226819,1265.200875,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p631"
"44",8,3,5043000,765986.1134468,777.560341,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p631"
"45",9,3,3980000,148947.245006,661.606994,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p631"
"46",10,3,3881000,76132.683619,307.083526,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p631"
"47",11,3,4158000,3090.81406,179.86823,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p631"
"48",12,3,6385000,244.3781066,94.2848484,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p631"
"49",13,3,6974000,22.0912093,131.1611937,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p631"
"50",14,3,7610000,39.03414,66.084105,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p631"
"51",15,3,7562000,148.4257076,40.8288164,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p631"
"52",16,3,8250000,376.412356,17.388072,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p631"
"53",17,3,8664000,396.62475543,5.92510557,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p631"
"54",18,3,8688000,561.52090793,3.96380307,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p631"
"55",19,3,8274000,36.12285749,3.27882621,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p631"
"56",20,3,8060000,223.885103,0,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p631"
"57",21,3,7729000,113.31928538,8.13641162,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p631"
"58",3,4,8608000,28276.54767577,66.7252973,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p641"
"59",4,4,8634000,197554.0416309,107.3274743,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p641"
"60",5,4,8554000,778743.9908286,819.228552,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p641"
"61",6,4,6320000,4048595.168714,2716.74335,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p641"
"62",7,4,3432000,1476483.783207,165.866888,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p641"
"63",8,4,2500000,849627.671786,1992.06887,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p641"
"64",9,4,2187000,107884.90199,811.22901,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p641"
"65",10,4,2633000,76903.263366,142.965734,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p641"
"66",11,4,3942000,45183.480508,212.846692,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p641"
"67",12,4,5037000,25597.42172,2904.89978,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p641"
"68",13,4,4190000,39952.12027,5161.21933,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p641"
"69",14,4,5460000,32061.33537,3740.36463,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p641"
"70",15,4,5161000,13977.644052,1051.761148,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p641"
"71",16,4,5902000,2789.522783,328.359907,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p641"
"72",17,4,6142000,603.9440566,69.6989034,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p641"
"73",18,4,6047000,224.87290768,3.45114932,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p641"
"74",19,4,7265000,227.1563524,5.7208586,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p641"
"75",20,4,6517000,27.4541368,0,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p641"
"76",21,4,6921000,0,0,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p641"
"77",3,5,9671000,7027.926520077,0,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p651"
"78",4,5,9914000,49982.78866206,107.6535721,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p651"
"79",5,5,9541000,186835.9095947,349.351917,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p651"
"80",6,5,8755000,393633.0928702,1403.160822,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p651"
"81",7,5,6341000,624721.7258602,132.5701877,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p651"
"82",8,5,3397600,238715.9830767,376.388597,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p651"
"83",9,5,3556000,13205.6068,213.6355,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p651"
"84",10,5,3695000,6826.7313997,44.3285803,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p651"
"85",11,5,6154000,307.5710694,15.3065906,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p651"
"86",12,5,6751000,98.1488469,63.2916961,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p651"
"87",13,5,6613000,1.12819440000001,105.8994746,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p651"
"88",14,5,6621000,331.8205829,27.1379961,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p651"
"89",15,5,7827000,514.7656944,22.2472436,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p651"
"90",16,5,8400000,569.88558397,6.26483603,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p651"
"91",17,5,8190000,919.6528502,18.5286998,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p651"
"92",18,5,7355000,469.1667047,10.4841443,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p651"
"93",19,5,7540000,16.69872575,4.25463315,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p651"
"94",20,5,7946000,31.2387248,0,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p651"
"95",21,5,7744000,0,3.08871205,1e+06,"As6p","emph2018","As6pemph2018","emph2018As6p651"
"96",3,1,9486000,811.981289522,0,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p711"
"97",4,1,9207000,5453.101684484,3.27921204,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p711"
"98",5,1,9298000,22131.77166372,12.67231484,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p711"
"99",6,1,8594000,52488.50863258,90.7880854,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p711"
"100",7,1,8274000,263546.1020364,196.077377,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p711"
"101",8,1,6695000,646886.1281997,1013.176719,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p711"
"102",9,1,4978000,170508.278071,979.580929,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p711"
"103",10,1,4398000,63204.659608,384.755392,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p711"
"104",11,1,5201000,9595.7191903,116.5911097,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p711"
"105",12,1,4458000,1873.435103,174.256547,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p711"
"106",13,1,6901000,299.485145,372.690345,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p711"
"107",14,1,6932000,1007.550994,161.754226,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p711"
"108",15,1,7358000,482.5107351,54.5022029,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p711"
"109",16,1,7711000,116.98887057,9.86677343,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p711"
"110",17,1,7890000,2.27852739,5.85274101,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p711"
"111",18,1,9494000,19.3128188,0,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p711"
"112",19,1,7437000,0,0,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p711"
"113",20,1,8421000,0,0,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p711"
"114",21,1,8077000,0,0,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p711"
"115",3,2,9682000,3336.24979175,0,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p721"
"116",4,2,8221000,18410.0553291,63.340425,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p721"
"117",5,2,9082000,101135.4511357,217.753878,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p721"
"118",6,2,7932000,453955.8354525,1162.04851,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p721"
"119",7,2,6778000,1252042.210341,1748.3815,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p721"
"120",8,2,4347000,1744558.64718,7852.58364,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p721"
"121",9,2,2459000,387089.41691,2208.10509,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p721"
"122",10,2,2510000,85458.697764,990.131236,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p721"
"123",11,2,4342000,16051.251132,216.196268,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p721"
"124",12,2,4883000,5081.339226,596.787554,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p721"
"125",13,2,5204000,2719.756739,723.944261,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p721"
"126",14,2,4850000,311.365509,491.688891,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p721"
"127",15,2,6209000,0,176.407192,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p721"
"128",16,2,6494000,96.2045804,25.6325446,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p721"
"129",17,2,6621000,36.4429171,7.2771825,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p721"
"130",18,2,7262000,57.827454,0,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p721"
"131",19,2,7462000,27.2643364,0,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p721"
"132",20,2,8053000,5.7856575,0,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p721"
"133",21,2,7934000,12.9920201,0,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p721"
"134",3,3,9952000,2613.879888387,0,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p731"
"135",4,3,9913000,9938.3391962,11.49471881,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p731"
"136",5,3,8748000,31049.02488908,58.4999733,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p731"
"137",6,3,8399000,74751.05320236,63.6503751,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p731"
"138",7,3,7903000,171337.1868403,327.735434,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p731"
"139",8,3,7624000,349133.6974628,705.981731,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p731"
"140",9,3,5991000,122158.924062,339.418938,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p731"
"141",10,3,4785000,97938.6387441,135.1792559,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p731"
"142",11,3,4820000,14896.465343,264.840857,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p731"
"143",12,3,7668000,7748.116535,1227.489565,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p731"
"144",13,3,6942000,863.617249,1307.147741,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p731"
"145",14,3,7422000,0,497.039067,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p731"
"146",15,3,6449000,47.105755,154.790709,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p731"
"147",16,3,7141000,167.6143276,85.5493714,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p731"
"148",17,3,6743000,0.4523294,20.4965757,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p731"
"149",18,3,7282000,31.5581993,0,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p731"
"150",19,3,7086000,0,0,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p731"
"151",20,3,7800000,0,0,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p731"
"152",21,3,7226000,0,0,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p731"
"153",3,4,9930000,862.116080207,0,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p741"
"154",4,4,9814000,3908.676611689,0,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p741"
"155",5,4,9714000,14894.05982956,13.41295125,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p741"
"156",6,4,8824000,36040.33086303,68.9385325,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p741"
"157",7,4,7886000,204617.4042358,101.6809237,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p741"
"158",8,4,7391000,323968.2413306,1185.2126,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p741"
"159",9,4,5524000,159464.714267,192.024733,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p741"
"160",10,4,4553000,43013.5177312,124.2189688,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p741"
"161",11,4,5271000,14397.8409175,73.8685825,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p741"
"162",12,4,6198000,6278.492615,450.799485,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p741"
"163",13,4,6651000,1155.02067,1031.76658,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p741"
"164",14,4,7163000,481.173246,677.140224,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p741"
"165",15,4,6826000,0,237.172559,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p741"
"166",16,4,7123000,182.8853029,53.7188251,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p741"
"167",17,4,7010000,15.84807856,12.53655984,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p741"
"168",18,4,9455000,13.524706,0,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p741"
"169",19,4,7212000,0,0,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p741"
"170",20,4,7343000,0,0,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p741"
"171",21,4,8077000,0,0,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p741"
"172",3,5,9493000,1159.264046523,2.94861289,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p751"
"173",4,5,9460000,5201.101052412,25.7361471,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p751"
"174",5,5,8126000,34350.31786036,29.6047359,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p751"
"175",6,5,8257000,120274.4621107,85.4530568,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p751"
"176",7,5,7363000,389737.2728948,728.176959,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p751"
"177",8,5,5324000,664961.1177047,1033.650002,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p751"
"178",9,5,4586000,219301.911883,773.479117,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p751"
"179",10,5,3998000,58233.293012,717.317988,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p751"
"180",11,5,4987000,19005.750164,469.689436,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p751"
"181",12,5,6079000,2158.001571,1425.343189,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p751"
"182",13,5,6849000,0,1086.019994,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p751"
"183",14,5,7224000,0,556.661234,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p751"
"184",15,5,6547000,519.7461542,90.3273758,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p751"
"185",16,5,6859000,134.8340555,28.0419815,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p751"
"186",17,5,8082000,35.07710259,2.32396841,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p751"
"187",18,5,7529000,46.7196197,0,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p751"
"188",19,5,7130000,12.3649479,0,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p751"
"189",20,5,7213000,11.9961961,0,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p751"
"190",21,5,7434000,0,0,1e+05,"As6p","emph2018","As6pemph2018","emph2018As6p751"
"191",3,1,8117000,0,0,1000,"As6p","emph2018","As6pemph2018","emph2018As6p811"
"192",4,1,9264000,0,0,1000,"As6p","emph2018","As6pemph2018","emph2018As6p811"
"193",5,1,9223000,6.387447487891,0,1000,"As6p","emph2018","As6pemph2018","emph2018As6p811"
"194",6,1,9158000,118.9906162839,0,1000,"As6p","emph2018","As6pemph2018","emph2018As6p811"
"195",7,1,8426000,370.3273686366,0,1000,"As6p","emph2018","As6pemph2018","emph2018As6p811"
"196",8,1,9121000,2455.034743663,0,1000,"As6p","emph2018","As6pemph2018","emph2018As6p811"
"197",9,1,8865000,181979.7885655,32.5660526,1000,"As6p","emph2018","As6pemph2018","emph2018As6p811"
"198",10,1,9005000,42017.8934792,140.6353208,1000,"As6p","emph2018","As6pemph2018","emph2018As6p811"
"199",11,1,8626000,111834.826622,791.497378,1000,"As6p","emph2018","As6pemph2018","emph2018As6p811"
"200",12,1,7377000,594531.957267,1209.472733,1000,"As6p","emph2018","As6pemph2018","emph2018As6p811"
"201",13,1,5536000,701411.597852,478.732148,1000,"As6p","emph2018","As6pemph2018","emph2018As6p811"
"202",14,1,4081000,237941.688993,165.311007,1000,"As6p","emph2018","As6pemph2018","emph2018As6p811"
"203",15,1,2630000,667.220632,178.156288,1000,"As6p","emph2018","As6pemph2018","emph2018As6p811"
