iter,rho,burst,iota_N1,iota_N2,phi_N1,phi_N2
1,0.298876667,5.203688917,0.52837152,0.511148449,0.929101654,1808.55013
2,0.132412634,3.748426368,0.239045883,0.924380817,3.150166572,2789.255185
3,0.413324942,5.236208446,0.357546378,0.942606509,1.551134588,195.0457505
4,0.440007609,5.052461519,1.079649105,0.999707823,0.905244282,804.5607966
5,0.220318881,5.598093179,0.636589135,1.021750403,1.722515522,6558.210785
6,0.254207405,5.173034398,0.307036341,0.532930844,0.927689039,155.7832171
7,0.319122357,3.793394168,0.669260595,0.932756191,2.126230147,103.94377
8,0.377459158,5.133258066,0.764043405,0.806497153,0.719700281,182.4005276
9,0.506411649,4.8068125,1.341112519,1.113213001,1.342449189,99.35527089
10,0.231694705,5.690477831,0.629131271,1.284062967,2.047283221,151.4186777
11,0.275192683,5.089011546,0.75395177,0.476626208,0.680778478,60.16807923
12,0.207725597,3.626430402,1.31055327,1.10569424,1.107096212,692.9262588
13,0.29859048,5.133854794,0.624623491,0.821801968,0.799819349,162.341284
14,0.524849449,5.131949616,3.378121009,0.783829151,0.472243069,115.004418
15,0.264961095,6.044630995,0.705673164,0.917296719,0.900325186,181.5394249
16,0.235896795,5.499708921,0.719847333,0.553817125,0.087852552,206.3508826
17,0.257793992,3.545378488,0.936530555,0.652702279,1.210615923,206.4799902
18,0.334957943,5.050515414,1.024771237,0.719075517,0.775074433,163.7986022
19,0.841828605,4.890161309,1.197367909,0.930549842,2.612993839,132.335553
20,0.382334361,5.715936749,1.017516963,1.070766213,2.999776252,259.6534705
21,0.222549937,5.210963009,3.156486587,0.840555461,0.093934306,219.2594269
22,0.154859829,3.94609619,3.088876658,0.904834669,0.07947414,275.5796319
23,0.286189432,5.051193976,3.358950295,1.074906817,0.349330066,282.2454183
24,0.460586358,5.170078475,3.329759573,0.894649365,0.19357751,245.9774882
25,0.207254431,5.609764795,3.125930949,1.016894615,0.569530541,333.9890186
26,0.236030178,5.037286499,1.826359738,0.55999576,0.316972863,502.9677321
27,0.124509702,3.629637838,1.828965206,0.847142309,0.381509639,193.6961286
28,0.238075571,5.144802073,1.696409118,0.982599065,0.247095862,402.9705964
29,0.602744531,4.935319354,1.825283107,0.96377311,1.412671296,248.2328262
30,0.165510953,5.435207944,1.818215492,1.268063522,0.658936927,336.624613
31,0.400299262,5.323001062,0.622854097,0.346825046,0.527491439,451.1680589
32,0.244447456,3.695242146,1.523045708,0.839886525,0.507358237,103.9896724
33,0.431919931,5.311037804,1.274929875,0.918737118,0.803101208,1628.181247
34,1.017443242,4.837872026,2.022084013,0.654256952,2.019319036,118.5160077
35,0.170588898,5.649515045,0.66157042,1.35945848,1.202612708,323.6030663
36,0.384923638,5.112470769,0.518198292,0.499849555,1.420003985,371.005769
37,0.220168982,3.78561427,0.619629275,0.911085714,0.717000834,33.81208022
38,0.456332217,5.324041688,0.903315195,0.989080011,1.104178447,416.3785323
39,0.790034493,4.804880582,0.58550654,0.715902096,8.345223407,197.3591859
40,0.191528501,5.577389007,0.58364523,1.305183189,2.098187111,120.6113317
41,0.268059026,4.975800414,1.021308949,0.59945775,0.529055827,487.9575265
42,0.104908081,3.665470699,1.69204788,1.081485797,0.273677339,3362.497144
43,0.224823217,5.178973241,0.828870567,1.157054105,0.436083731,445.6799053
44,0.724328838,4.899208163,1.745380476,0.732246813,2.03107603,35.4252746
45,0.184370219,5.600901419,0.896283843,1.388144422,1.240707769,234.8966343
46,0.234078965,5.15355183,1.197994861,0.613697339,0.276316221,1365.360498
47,0.271802067,3.599269017,1.131299014,0.976090372,1.134392693,312.9222367
48,0.280248385,5.173200742,1.084330245,0.858735637,0.209553575,203.0949193
49,0.728397377,5.190336317,1.266031394,0.777938929,1.710622623,254.9328394
50,0.212827313,5.727276476,0.930617702,1.27696693,1.177851455,628.9788106
51,0.259526576,5.079312552,1.030701816,0.430701358,0.506841657,1659.446054
52,0.208420375,3.782240522,1.459833065,1.055600518,0.626381614,1524.578066
53,0.264084063,5.251720658,0.553049331,0.814129609,0.456367098,233.463673
54,0.505234583,4.904342736,1.261871556,1.033211883,1.092797056,180.1846106
55,0.189347575,5.717196815,0.832524759,1.322159155,0.989443528,486.8493688
56,0.323514604,5.173041499,0.508151164,0.474861003,1.235325287,698.9090408
57,0.067850942,3.702782385,0.395607682,1.182838497,1.306823151,823.3246581
58,0.336271967,5.038929725,0.866805946,0.998387348,1.398530192,580.6179774
59,0.875213115,4.661482127,1.776309925,0.836419491,3.073441543,275.7777717
60,0.239236383,5.511009425,0.899219691,1.422178009,2.036121054,368.6019304
61,0.196943862,5.020300357,0.882476562,0.560182769,0.371071101,92.69372662
62,0.161199983,3.656897925,0.917625976,0.758007221,0.64103052,719.471901
63,0.452289595,5.238959648,0.602811364,0.895705567,1.950917241,582.7418016
64,0.535335934,4.904336281,2.241319995,1.080703742,0.815317064,609.1566278
65,0.153261588,5.60783964,1.828368382,1.365470658,0.548457806,3077.422939
66,0.162795601,5.222931666,1.109662369,0.580725539,0.109282846,242.3822275
67,0.274135068,3.608764052,0.988672483,1.165407858,0.964569625,214.7540843
68,0.295317798,5.145470342,0.823760337,0.981023533,0.629307699,199.6585508
69,0.847413077,4.967559424,0.953643375,0.806563963,2.921522578,152.6453187
70,0.198227807,6.018548126,1.097962681,1.208437084,0.383482203,229.738809
71,0.298759633,5.187324665,1.217024487,0.666175039,0.671067893,29.76103703
72,0.122685022,3.686386211,0.976924522,0.941815499,0.525464646,65.17305021
73,0.165580045,5.285164047,0.696804624,1.182140123,0.508226189,116.1351454
74,0.63859458,4.704307378,2.523737884,0.668101434,0.958741319,107.8652003
75,0.148138206,5.584605323,2.409282034,1.425404436,0.391714719,99.71869904
76,0.211998646,5.126733662,1.351439683,0.617387723,0.10901677,879.5396496
77,0.26588822,3.663919411,1.844434058,1.100500206,0.411654204,312.1974613
78,0.380787694,5.243768333,1.416193037,0.931990491,0.376087428,1202.568187
79,0.460333215,5.03668093,2.176819015,1.141130769,0.495015802,170.7063439
80,0.208106155,5.493231632,1.489673214,1.495236222,0.929799174,264.5405393
81,0.27221134,5.129142144,0.501696543,0.477284262,0.689411221,623.9508349
82,0.113100818,3.567782865,0.879105262,0.976076486,0.758383003,706.9846242
83,0.346278208,5.238734368,0.615042103,0.83106258,0.801007262,665.7283804
84,0.444487728,4.916040094,1.002661261,1.057394402,0.822502084,801.3274128
85,0.189305664,5.475843457,1.541668002,1.418699608,0.851106594,608.1388446
86,0.235111422,5.212299968,0.621916275,0.654316389,0.733707332,26.89226374
87,0.261593643,3.673849583,0.971205698,0.871828859,1.244843691,2266.491221
88,0.37467072,5.295786885,1.029392071,1.007283709,0.882570993,49.21946172
89,0.538550523,4.722218341,1.132575675,1.067753788,2.1087886,78.83199151
90,0.15310844,5.699846778,0.588951289,1.266088913,1.194056684,1107.071029
91,0.346447829,5.181564056,0.474433036,0.595791597,1.67791803,826.7179586
92,0.260002921,3.794262505,0.658513604,0.711179535,1.429290829,224.1843212
93,0.279229982,5.258270539,0.260751513,0.964387534,1.757534521,237.9953544
94,0.545780808,4.956302443,2.004892074,0.855864369,1.316064601,374.6151929
95,0.255924371,5.60934936,0.683304284,1.153164929,2.304397229,281.6864151
96,0.278120954,5.163648138,0.279061093,0.47216178,1.539111534,86.69961675
97,0.17043908,3.588627516,0.786738544,1.038831526,1.246129027,91.85177578
98,0.352232999,5.308913351,0.953998192,1.110215838,0.856699082,77.00485612
99,0.473886848,4.930593256,1.810206061,0.921542777,0.852101635,68.42010519
100,0.251818604,5.500215745,1.302807744,1.256420546,1.203640746,73.6736313
101,0.248418479,5.036800974,1.684479578,0.525088339,0.357900967,2296.371371
102,0.118363637,3.809920983,1.165849595,1.035226591,0.167341155,630.9021466
103,0.37003402,5.256500331,1.086883918,1.119441124,0.839983798,32.68681762
104,1.021652776,4.981010675,2.257911671,0.688510049,2.420457601,609.8959873
105,0.20874426,5.826951908,1.234745779,1.231052965,0.903182248,2098.295506
106,0.245306607,5.3042915,1.436462158,0.499085782,0.138264334,414.253134
107,0.161339133,3.645947368,2.307307957,1.012253594,0.237187596,1609.443185
108,0.267587223,5.173263654,2.918881808,0.876003256,0.140034138,2539.418486
109,0.51144296,4.906519255,4.062479632,0.988962756,0.448074488,30.3426603
110,0.187754438,5.595979636,1.833618793,1.423988294,0.39473291,1214.647351
111,0.376920449,5.064520847,0.286649826,0.451525047,1.730626942,209.3009339
112,0.196591586,3.600948084,0.618509629,1.016400463,1.994028709,423.6462204
113,0.344028023,5.229499644,0.544923825,1.09681443,1.717736177,48.30391251
114,0.464355208,5.095039759,0.851338907,0.910302323,2.020202312,143.5781919
115,0.189083898,5.437076711,0.703292253,1.238650512,1.830869476,297.5423437
116,0.233185291,4.998204447,0.50920231,0.400813672,1.315594895,1371.2508
117,0.171334851,3.68444707,0.88416469,0.978764213,1.001259724,785.191556
118,0.414084578,5.232435556,1.244846364,1.005442881,1.051720562,290.542982
119,0.626908006,5.178927091,1.480455054,0.980045452,1.489600647,209.5677138
120,0.233189753,5.455556892,1.154516528,1.349917313,1.85727123,146.1011399
121,0.192666357,5.207320504,1.079550825,0.546911953,0.157074344,74.95712898
122,0.187125735,3.669001375,0.525261407,0.911825035,2.134860536,181.411312
123,0.135779209,5.16582415,1.671796951,1.152117641,0.160453918,99.5209797
124,0.791450371,4.804512228,1.050388845,0.98591532,2.888275549,141.5973183
125,0.238122947,5.619761923,1.022189109,1.080247857,1.004091876,133.2387349
126,0.20716813,5.14195724,1.505945555,0.451957324,0.170835382,284.3608111
127,0.355903747,3.539733712,0.741892422,1.000638023,2.441074016,140.8459652
128,0.3712846,5.034573152,1.434944152,1.009929133,0.711173411,213.4750512
129,0.505893077,4.970808941,1.029291524,1.105205894,1.580324203,81.25126236
130,0.245600885,5.648268155,0.755311707,1.204332068,1.903945888,209.0529531
131,0.319929249,5.1368962,0.367068956,0.428356348,1.322512766,441.7444266
132,0.16851619,3.772230007,0.639622278,1.028121144,0.888255983,163.156677
133,0.286752625,5.082745509,0.881418647,1.074154509,0.842413596,70.41408791
134,0.676059466,4.922805194,1.917040377,0.995955566,1.438434899,957.045874
135,0.287593039,5.726605856,1.657626477,1.236257507,1.432433658,788.9163505
136,0.302329244,5.003384536,0.878976754,0.585993843,0.410121094,590.1590518
137,0.131387613,3.702890526,1.176620054,1.015939646,0.652268483,121.9520591
138,0.209640431,5.25612304,1.087854999,0.880903421,0.321329813,145.2568237
139,0.656018355,4.915272783,1.141732651,1.004681952,2.132227159,24.8088926
140,0.244092816,5.371343259,1.33551151,1.060756312,1.250804443,143.7686762
141,0.243181355,5.333147584,0.744981318,0.491028312,0.311249024,258.1462611
142,0.22594758,3.652102269,0.35760155,0.920778354,2.996068356,572.5553027
143,0.347546605,4.987192909,1.257963877,0.687002686,0.608114063,165.2519769
144,0.527645509,4.862934754,2.191334489,1.062540584,0.67747536,113.4703216
145,0.264767839,5.56977298,0.735606077,1.069457622,2.456869891,204.2954162
146,0.354687091,5.16023825,0.473153564,0.368400826,3.029884089,138.4723371
147,0.335121246,3.829742301,0.627454119,0.90564667,2.88518177,73.03764525
148,0.39872848,5.066768736,0.499974383,1.023286808,2.625479753,304.0403017
149,0.758988812,5.133718769,0.624089318,0.683602005,3.106887527,67.78785153
150,0.21883552,5.72475894,0.45619015,1.114764417,2.428263215,1212.043468
151,0.284430661,5.298780616,2.651223454,0.481431895,0.129654987,221.0531674
152,0.236180738,3.843184567,0.79064029,0.976512004,0.47915359,153.8980475
153,0.238492229,5.263605935,0.651477928,1.151145734,0.468575684,76.34702094
154,0.653906859,5.014158322,1.209295357,1.205916697,1.915721791,147.9055396
155,0.174991921,5.328463914,1.769010811,1.536478207,0.931170629,238.315248
156,0.385344959,4.928809559,1.115755372,0.62959946,0.978296018,449.4564992
157,0.16519926,3.559850746,0.751272861,1.061384132,1.296264162,112.6895503
158,0.339707195,5.219551341,0.958912841,0.958409862,0.8736825,699.5523324
159,0.528817586,4.905338443,1.014761793,0.968877237,1.746286978,312.1488129
160,0.313982008,5.348242689,2.096303545,1.337495723,1.427776855,138.123435
161,0.218642115,5.205036249,0.925217797,0.597836561,0.198237102,215.6615104
162,0.150430289,3.868151519,0.32025214,1.134214232,0.959417244,130.2075967
163,0.366625973,5.17443834,0.906233236,0.710177809,0.9110985,1380.261317
164,1.074740972,4.962915407,1.189157652,0.688660134,3.17807051,330.0400942
165,0.268630139,5.662813584,0.780038725,1.265003202,2.078947889,211.1742759
166,0.225952577,5.270274268,1.077693788,0.527240082,0.372648393,592.4635937
167,0.174508546,3.760917139,2.324347419,0.834404883,0.205313504,537.1335304
168,0.219299436,5.193322464,1.975363619,0.953457006,0.255242211,555.5993285
169,0.666311386,4.676253283,2.441731594,0.787287136,0.973033406,963.4909878
170,0.183027294,5.514766931,1.44415369,1.455256804,0.86459325,505.2271247
171,0.229624381,5.18907496,0.753038511,0.483567485,0.264210957,221.9657909
172,0.098809681,3.540603395,0.798989428,0.764418761,0.529704733,156.4568247
173,0.316461545,5.032867707,0.966361014,1.089843693,0.71993101,206.3611082
174,0.530098844,4.893978233,2.271110889,1.078562899,0.509988558,140.0313074
175,0.207875324,5.854091476,1.221656423,1.177635668,0.454667161,229.1917502
176,0.299736643,5.140712275,0.418941767,0.566542407,1.929429078,483.0378882
177,0.244631132,3.543732199,0.559309367,1.032472653,4.454779274,281.5385012
178,0.18001504,5.107067174,0.281498386,0.974891035,1.300889613,113.6428797
179,0.574325997,5.051235864,0.986112617,0.858850388,1.519074518,76.46258434
180,0.244943878,5.574537926,0.539469295,1.309320406,2.540591465,876.4471739
181,0.231997412,5.158203842,0.193299476,0.5674681,0.818029687,34.79114728
182,0.296772108,3.641409195,0.864447261,0.771558365,1.176326295,26.46222312
183,0.402357152,5.208250525,0.667790263,1.102840882,1.175947282,37.06300747
184,0.604759232,4.846633804,1.747756095,0.937746446,1.328953514,17.34435212
185,0.182639521,5.50757226,0.769603101,1.327306507,1.581043447,134.4450297
186,0.237638015,5.200618588,0.811889598,0.504539227,0.65651063,229.6995122
187,0.060908028,3.656628852,0.706997367,1.244117813,0.900136241,427.8824296
188,0.180510978,5.068585359,0.985493638,1.045075998,0.734698442,276.3164657
189,0.777624795,5.073488124,3.308389538,0.938529137,0.810099481,742.1808586
190,0.185064602,5.679138358,1.227520392,1.178374244,0.703197438,361.7924667
191,0.314873212,5.081873455,0.444264071,0.546895092,0.745966727,128.7508552
192,0.212136769,3.608662886,1.41112466,1.194511711,0.569199861,36.51986005
193,0.149410977,5.326480112,1.220274416,1.270547013,0.216276318,8.379999762
194,0.388754999,4.948074078,1.461546731,1.239438948,0.884154963,1007.506248
195,0.204697229,5.542650171,1.062169991,1.32573279,1.623110509,3946.783323
196,0.25355525,5.253390818,1.092287561,0.569231936,0.094416766,731.9421142
197,0.138838346,3.82417639,1.05387542,1.185615694,0.241150004,119.2996727
198,0.317800906,5.365178658,2.246595376,1.204531735,0.339750113,26.61228108
199,0.521747499,4.863952674,1.296635571,0.789819537,1.42094538,64.78456223
200,0.191540017,5.628710586,1.50522104,1.000194471,0.244219453,661.7807351
201,0.227109301,5.285979859,1.263680753,0.623336029,0.377838024,147.7366571
202,0.321075125,3.573327443,0.538113948,1.046029976,3.145830637,74.28742798
203,0.481166097,5.113293113,0.642989105,0.968354117,1.98385833,96.12265527
204,0.736388456,5.208876566,1.278701777,0.757731107,1.141179029,214.562643
205,0.263142835,5.59730801,0.680498812,1.047882005,3.624871996,80.33145758
206,0.252315023,5.257360461,0.729573268,0.593257865,0.369547325,119.8666243
207,0.165862107,3.710186844,0.71179464,0.93581282,0.55970414,214.314196
208,0.247662256,5.285013135,0.716387756,1.022962884,0.47698717,377.6501576
209,0.453088896,4.919404668,0.705804669,1.229543975,1.9002895,341.4808497
210,0.233362442,5.642323352,0.707883983,1.058589549,0.995476967,300.2421929
211,0.205804927,5.217585315,1.112045818,0.452334681,0.195059534,1056.305594
212,0.129532732,3.64638856,1.630998897,0.738982326,0.177899699,332.2518693
213,0.325690559,5.310636248,1.686213918,0.776137035,0.420132094,139.9508534
214,0.605457258,4.815716375,1.365598227,0.891657961,1.93489999,178.3283942
215,0.167685391,5.535976879,1.355492442,1.58871786,0.887938099,372.7712498
216,0.159987263,5.170014875,1.099352558,0.543830216,0.092524057,367.9484579
217,0.143009649,3.83111923,0.981192193,0.877126924,0.227065477,1154.367938
218,0.409792373,5.350727677,0.994478018,1.109646165,0.339793096,315.3589219
219,0.559903211,4.928706107,0.896832601,0.997912612,2.010025236,398.6058448
220,0.386017287,5.495063928,0.976415089,1.334958638,2.543998318,184.5625263
221,0.232743793,5.292919202,2.403549117,0.486074248,0.050438689,1528.458246
222,0.195422889,3.683764926,2.417714084,0.922407963,0.18698342,33.815228
223,0.242198558,5.170236682,2.516965289,1.030926545,0.165920178,324.6254849
224,0.406538717,4.927311702,2.273271696,1.230425458,0.484489937,76.21493175
225,0.134704,5.8889212,2.157444896,1.382733581,0.304187774,1082.975992
226,0.225686899,5.405598712,1.132553803,0.548409077,0.168444424,827.9729861
227,0.231721602,3.881688548,1.452865708,1.077626521,0.368475547,532.0458172
228,0.268519547,5.261474654,1.105192054,1.018599443,0.380978108,69.2296013
229,0.57631515,4.788546596,1.482795772,0.806544295,2.201863349,133.1928089
230,0.270944097,5.91000234,1.095542095,1.031515481,1.383122945,420.1962168
231,0.218812289,5.100774612,0.526934411,0.597528437,1.137942481,56.3018006
232,0.208880537,3.691026269,0.524347294,0.900462052,1.663296061,312.2997104
233,0.226571847,5.220750579,0.578437637,1.085452853,1.326909287,76.92135357
234,0.582293251,5.031984309,0.546695447,0.968163153,3.605752252,86.12966792
235,0.26937515,5.54379345,0.550901877,1.179251745,3.389436473,336.3389195
236,0.187453604,5.157412642,0.464459422,0.67969129,0.491428136,78.30664377
237,0.136898219,3.748352279,0.399135306,1.164745909,1.093857428,1608.062149
238,0.34791194,5.176596452,0.778855809,0.863356121,0.767144625,169.0512993
239,0.559810344,4.858464299,1.247690938,0.934790541,2.168579411,474.3635741
240,0.237236414,5.322677522,0.901160664,1.286896572,2.768697171,253.7287696
241,0.312727011,5.287775128,0.341968064,0.845749304,1.97079962,5.651191394
242,0.182452093,3.723400236,0.665875463,1.170393472,1.288460989,45.03904061
243,0.294025606,5.347636942,0.547595115,0.980398091,1.129667221,88.05168827
244,0.675106446,4.697001132,1.692128308,0.852531421,1.189034621,18.4680534
245,0.174781978,5.680439446,0.512736843,1.105570831,1.44467388,164.5085551
246,0.296813999,5.237277096,0.318260232,0.460702322,1.43203503,344.0146926
247,0.25339493,3.705126556,0.551506736,1.077580627,1.666805191,3836.436969
248,0.230757842,4.980143965,0.527348469,0.872011742,1.809003483,764.8017474
249,0.433971661,5.116063767,0.772041409,1.100552018,1.628805495,1076.690791
250,0.246815024,5.431073188,1.355997428,1.335572222,1.736829061,190.8091861
251,0.236093156,5.480378708,1.652452901,0.49494343,0.082966994,1352.199506
252,0.130422355,3.766066947,2.099209197,0.904625482,0.182938313,1450.005001
253,0.214805962,5.415509235,0.693101554,0.951821299,0.35861811,11159.96923
254,0.430176294,4.910910562,1.230484943,0.885624978,1.029725664,96.97105861
255,0.19762327,5.942236049,1.092486944,1.357406258,0.418687826,699.2232228
256,0.378090626,5.294016572,0.918309297,0.435778445,0.989419093,93.55466531
257,0.28948259,3.74737018,0.606439122,0.991850554,1.477420064,270.8635536
258,0.362373434,5.303346304,0.698825932,0.949060956,1.153457372,53.29029352
259,0.483895935,4.980121451,0.833048782,1.196878963,1.155049088,925.9926476
260,0.215918252,5.63495732,0.761677412,1.237345204,1.268508786,117.7364571
261,0.229172114,5.268783839,0.264526904,0.532283173,1.478110163,63.12829026
262,0.223271433,3.894584115,0.246526499,0.89755117,2.171927835,83.60930619
263,0.452707617,4.929310287,0.70821245,0.796799534,2.304548387,367.8594329
264,0.611953066,4.896219356,1.063290961,0.676792217,1.97099876,119.0447383
265,0.261106421,5.498891785,0.919869979,1.63052288,2.267207733,40.85497193
266,0.308248909,5.143875898,1.448598622,0.516412228,0.579133458,84.58160865
267,0.271128888,3.540744573,1.365723886,0.636634959,0.898185301,95.68341139
268,0.319853599,5.296839953,1.358917165,0.869342026,0.439766324,96.9416317
269,0.679691796,5.284690566,1.526501732,1.071158849,1.51967313,77.54223938
270,0.254172121,5.426041915,1.399464531,1.378928729,1.322027875,112.7346663
271,0.290941679,5.418713532,0.713092265,0.537594516,1.054060806,35.87554342
272,0.191323083,3.691071613,1.023718585,1.095325888,1.176242668,789.3147773
273,0.378926652,5.066013377,0.504722876,0.636720642,2.261055653,114.5782164
274,0.376086476,5.009675633,0.580995922,1.010131324,1.662034954,118.6257689
275,0.317749741,5.48110882,0.747552148,0.974163148,8.043611896,202.5412633
276,0.23276096,5.191860676,11.68372326,0.490057312,0.026579362,668.9904127
277,0.147966027,3.789621607,11.25741868,0.870595127,0.015980687,221.3534877
278,0.24605947,5.218383755,24.95064197,1.203888123,0.017929725,978.8467616
