cue,log,var1,var2,var3,var4,fitness_20
I,none,0.1135384,-39.0585154,1941.908281,119.822898,8.49777
I,log,5.463558,2.383948,-17.757281,4.571835,9.494991
Ig,none,0.05234791,-46.03368629,1897.613135,70.57689145,8.569285
Ig,log,1.746334,-1.785818,-5.528335,1.573436,9.618812
I+Ig,none,0.3159297,-46.1104558,1250.752908,-6.1982093,8.854682
I+Ig,log,3.594042,4.157744,-13.530672,2.599905,9.573291
R,none,7.0976026,30.1295151,-28.0565613,-0.2788713,8.23991
R,log,48.70772,105.18882,-81.80625,-44.60051,8.181604
G,none,0.04061288,-9.31445958,74.13015506,-431.5984364,8.58856
G,log,1.211521,-3.936778,-1.312944,-1.285713,9.561373